Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.023314,-0.046399,1.1547,0,0,0,1.0014,0.00031293,-1.2095E-35,0,0.021019,0,0.021019,0,0,0,0,0,0,package://平衡车.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://平衡车.SLDASM/meshes/base_link.STL,,车轴-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
mid_link,0.023314,0.19288,2.2204E-16,0,0,0,1.0105,0.022052,4.0499E-20,0,0.00045265,2.5234E-19,0.02202,0,0,0,0,0,0,package://平衡车.SLDASM/meshes/mid_link.STL,1,1,1,1,0,0,0,0,0,0,package://平衡车.SLDASM/meshes/mid_link.STL,,杆-1,Origin_mid,基准轴1,mid,fixed,0,-1.1547,-0.046399,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
left_link,0.025,0,0,0,0,0,1.6935,0.0089968,-2.0277E-35,-1.0646E-35,0.0048512,5.3745E-35,0.0048512,0,0,0,0,0,0,package://平衡车.SLDASM/meshes/left_link.STL,1,1,1,1,0,0,0,0,0,0,package://平衡车.SLDASM/meshes/left_link.STL,,轮子-2,Origin_left,基准轴1,left,continuous,0.22331,-1.1547,-0.046399,1.5708,0,0,base_link,1,0,0,,,,,,,,,,,,
right_link,-0.025,0,0,0,0,0,1.6935,0.0089968,-2.0277E-35,-1.0646E-35,0.0048512,5.3745E-35,0.0048512,0,0,0,0,0,0,package://平衡车.SLDASM/meshes/right_link.STL,1,1,1,1,0,0,0,0,0,0,package://平衡车.SLDASM/meshes/right_link.STL,,轮子-1,Origin_right,基准轴1,right,continuous,-0.17669,-1.1547,-0.046399,1.5708,0,0,base_link,1,0,0,,,,,,,,,,,,
